[12-Jan-2013 06:44:23 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:25 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:29 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:33 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 09:31:51 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[14-Jan-2013 09:53:22 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:24 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:26 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:29 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[16-Jan-2013 06:06:12 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[16-Jan-2013 09:49:30 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[17-Jan-2013 10:38:47 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[17-Jan-2013 20:07:02 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[20-Jan-2013 12:39:07 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[22-Jan-2013 04:19:23 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[29-Jan-2013 23:33:58 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[31-Jan-2013 05:57:22 UTC] PHP Fatal error:  Call to a member function process() on a non-object in /var/www/englishpirate.com/magento/app/code/community/Ess/M2ePro/Model/Cron.php on line 169
[05-Feb-2013 17:50:10 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[05-Feb-2013 18:32:17 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Feb-2013 10:10:05 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[12-Feb-2013 15:21:31 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[12-Feb-2013 15:51:12 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[15-Feb-2013 21:54:28 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[16-Feb-2013 14:38:39 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[20-Feb-2013 04:19:43 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[02-Mar-2013 12:03:56 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[02-Mar-2013 12:03:59 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[03-Mar-2013 12:50:33 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Mar-2013 03:52:53 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Mar-2013 10:04:02 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[11-Mar-2013 10:11:29 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[11-Mar-2013 10:11:32 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[11-Mar-2013 10:11:35 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[11-Mar-2013 10:11:37 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[11-Mar-2013 10:11:40 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Mar-2013 21:26:52 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[14-Mar-2013 05:39:31 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Mar-2013 05:39:57 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[15-Mar-2013 06:59:25 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[15-Mar-2013 13:53:02 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[17-Mar-2013 23:45:19 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[18-Mar-2013 03:27:08 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[18-Mar-2013 05:58:14 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[18-Mar-2013 08:38:51 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[18-Mar-2013 19:32:40 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[22-Mar-2013 10:18:23 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Mar-2013 02:40:12 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[25-Mar-2013 12:18:51 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[25-Mar-2013 14:43:12 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[26-Mar-2013 08:51:51 UTC] PHP Fatal error:  Call to a member function setSaveParametersInSession() on a non-object in /var/www/englishpirate.com/magento/app/code/core/Mage/Adminhtml/Block/Widget/Grid/Container.php on line 66
[26-Mar-2013 08:51:55 UTC] PHP Fatal error:  Call to a member function setSaveParametersInSession() on a non-object in /var/www/englishpirate.com/magento/app/code/core/Mage/Adminhtml/Block/Widget/Grid/Container.php on line 66
[26-Mar-2013 08:54:38 UTC] PHP Fatal error:  Call to a member function setSaveParametersInSession() on a non-object in /var/www/englishpirate.com/magento/app/code/core/Mage/Adminhtml/Block/Widget/Grid/Container.php on line 66
[26-Mar-2013 10:12:08 UTC] PHP Fatal error:  Class 'Ess_M2ePro_Model_Connector_Server_Amazon_Product_List_MultipleResponser' not found in /var/www/englishpirate.com/magento/app/code/community/Ess/M2ePro/Model/Processing/Request.php on line 128
[26-Mar-2013 08:06:26 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[26-Mar-2013 08:06:26 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[26-Mar-2013 08:06:26 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[26-Mar-2013 15:04:53 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[28-Mar-2013 09:04:56 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[28-Mar-2013 07:23:23 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[30-Mar-2013 05:48:41 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[30-Mar-2013 05:48:45 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
